Id,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,BMI,WeightKg
1503960366,12116.741935483871,7.809677385514783,7.809677385514783,0.0,2.8583871126174927,0.7941935403693109,4.152903241495931,0.0,38.70967741935484,19.161290322580644,219.93548387096774,848.1612903225806,1816.4193548387098,25.487083355585728,85.14583428700766
1624580081,5743.903225806452,3.9148387293661795,3.9148387293661795,0.0,0.939354842708955,0.36064516200173274,2.606774180166182,0.0061290321210699505,8.67741935483871,5.806451612903226,153.48387096774192,1257.741935483871,1483.3548387096773,25.487083355585728,85.14583428700766
1644430081,7282.966666666666,5.295333353678387,5.295333353678387,0.0,0.7300000009437403,0.9510000019023815,3.6090000212192535,0.003999999910593013,9.566666666666666,21.366666666666667,178.46666666666667,1161.8666666666666,2811.3,25.48708335558573,85.14583428700765
1844505072,2580.064516129032,1.7061290368437778,1.7061290368437778,0.0,0.008387096706897967,0.04903225648787716,1.647419338505115,0.0,0.12903225806451613,1.2903225806451613,115.45161290322581,1206.6129032258063,1573.483870967742,25.487083355585728,85.14583428700766
1927972279,916.1290322580645,0.6345161230814076,0.6345161230814076,0.0,0.09580645085342482,0.03129032296278783,0.5070967686272442,0.0,1.3225806451612903,0.7741935483870968,38.58064516129032,1317.4193548387098,2172.8064516129034,25.487083355585728,85.14583428700766
2022484408,11370.645161290322,8.084193491166637,8.084193491166637,0.0,2.4216128837677737,0.7200000031340499,4.942580638393279,0.0,36.29032258064516,19.35483870967742,257.4516129032258,1112.5806451612902,2509.967741935484,25.487083355585728,85.14583428700766
2026352035,5566.870967741936,3.4548387152533384,3.4548387152533384,0.0,0.00612903218115529,0.01129032238837213,3.436129040295078,0.0,0.0967741935483871,0.25806451612903225,256.64516129032256,689.4193548387096,1540.6451612903227,25.487083355585728,85.14583428700766
2320127002,4716.870967741936,3.1877419044894557,3.1877419044894557,0.0,0.10677419302444308,0.09774193456096031,2.9803225667245927,0.0,1.3548387096774193,2.5806451612903225,198.19354838709677,1220.0967741935483,1724.1612903225807,25.487083355585728,85.14583428700766
2347167796,9519.666666666666,6.355555535915001,6.355555535915001,0.0,1.0594444330781696,1.0749999913904404,4.221666708485121,0.0,13.5,20.555555555555557,252.5,687.1666666666666,2043.4444444444443,25.487083355585746,85.14583428700763
2873212765,7555.774193548387,5.101612860156644,5.101612860156644,0.0,0.6761290309650283,0.2761290323349737,4.143548413630454,0.005161290207216793,14.096774193548388,6.129032258064516,308.0,1097.1935483870968,1916.967741935484,25.487083355585728,85.14583428700766
3372868164,6861.65,4.707000041007996,4.707000041007996,0.0,0.6294999971985812,0.15299999844282858,3.909999966621399,0.010999999754130808,9.15,4.1,327.9,1077.55,1933.1,25.487083355585746,85.14583428700763
3977333714,10984.566666666668,7.5169999440511095,7.5169999440511095,0.0,1.6149999824663002,2.750999979178111,3.1343333443005887,0.0,18.9,61.266666666666666,174.76666666666668,707.5333333333333,1513.6666666666667,25.48708335558573,85.14583428700765
4020332650,2267.2258064516127,1.626129038932343,1.626129038932343,0.0,0.14225806103598682,0.1296774168168345,1.308387081949941,0.00548387096533852,5.193548387096774,5.354838709677419,76.93548387096774,1237.258064516129,2385.8064516129034,25.487083355585728,85.14583428700766
4057192912,3838.0,2.86250001192093,2.86250001192093,0.0,0.05249999836087225,0.06499999761581425,2.6875,0.0,0.75,1.5,103.0,1217.25,1973.75,25.48708335558574,85.14583428700765
4319703577,7268.8387096774195,4.892258047036106,4.892258047036106,0.0,0.2780645162828509,0.502258064766084,3.768709638366295,0.0,3.5806451612903225,12.32258064516129,228.7741935483871,735.8064516129032,2037.6774193548388,25.487083355585728,85.14583428700766
4388161847,10813.935483870968,8.393225892897572,8.393225892897572,0.0,1.7193548346479097,0.9019354778912759,5.396129046716998,0.0,23.161290322580644,20.35483870967742,229.3548387096774,836.6774193548387,3093.8709677419356,25.487083355585728,85.14583428700766
4445114986,4796.548387096775,3.245806440230339,3.245806440230339,0.0,0.5232258109796432,0.0754838703019965,2.6448387099850557,0.0,6.612903225806452,1.7419354838709677,209.09677419354838,829.9032258064516,2186.1935483870966,25.487083355585728,85.14583428700766
4558609924,7685.129032258064,5.080645176672166,5.080645176672166,0.0,0.5493548389884728,0.6822580661504504,3.847741946097343,0.0,10.387096774193548,13.709677419354838,284.96774193548384,1093.6129032258063,2033.258064516129,25.487083355585728,85.14583428700766
4702921684,8572.064516129032,6.955161283093115,6.955161283093115,0.0,0.41741935476180064,1.3048387092928728,5.225483921266371,0.0,5.129032258064516,26.032258064516128,237.48387096774192,766.4193548387096,2965.548387096774,25.487083355585728,85.14583428700766
5553957443,8612.58064516129,5.63967744958016,5.63967744958016,0.0,1.4641935488870064,0.6690322631789796,3.504516095884384,0.0,23.419354838709676,13.0,206.19354838709677,668.3548387096774,1875.6774193548388,25.487083355585728,85.14583428700766
5577150313,8304.433333333332,6.213333304723104,6.213333304723104,0.0,3.113666655619939,0.65800000478824,2.427999989191692,0.0,87.33333333333333,29.833333333333332,147.93333333333334,754.4333333333333,3359.633333333333,25.48708335558573,85.14583428700765
6117666160,7046.714285714285,5.342142914022717,5.342142914022717,0.0,0.12821428477764124,0.08392857228006635,4.843214298997608,0.0,1.5714285714285714,2.0357142857142856,288.35714285714283,796.2857142857143,2261.1428571428573,25.48708335558573,85.14583428700765
